Title;Genre;Runtime;Director;Format;Studio;"Added Date"
"(500) Days Of Summer";"Comedy, Drama, Romance";95;"Marc Webb";Blu-Ray;"Dune Entertainment III";"Jul 22, 2018"
"10 Cloverfield Lane";"Drama, Horror, Mystery, Science Fiction, Thriller";104;"Dan Trachtenberg";Blu-Ray;"Paramount Pictures";"Feb 06, 2018"
"12 Monkeys";"Action, Adventure, Comedy, Mystery, Romance, Science Fiction, Thriller";129;"Terry Gilliam";Blu-Ray;"Universal Studios";"Jan 15, 2018"
"12 Strong";"Action, Drama, History, War";130;"Nicolai Fuglsig";Blu-Ray;"Alcon Entertainment";"May 05, 2018"
1911;"Action, Adventure, Drama, Foreign, History, War";125;"Jackie Chan, Li Zhang";Blu-Ray;"Well Go USA";"Feb 25, 2018"
"2001: A Space Odyssey";"Adventure, Music, Mystery, Science Fiction";139;"Stanley Kubrick";Blu-Ray;MGM/UA;"Jan 15, 2018"
"Through a glass darkly";"Drama, Foreign";89;"Ingmar Bergman";Blu-Ray;"Svensk Filmindustri";"Nov 20, 2018"
"30,000 Leagues Under the Sea";"Action, Science Fiction";85;"Gabriel Bologna";Blu-Ray;"Asylum Home Entertainment";"Jan 15, 2018"
"4 Dollars of Revenge";Western;88;"Jaime Jesús Balcázar";Blu-Ray;"Balcázar Producciones Cinematográficas";"Jun 20, 2018"
"51 Degrees";"Biography, Drama, Mystery, Science Fiction, Thriller";0;"Grigorij Richters";Blu-Ray;"Films United";"Aug 15, 2018"
"8 Mile";"Drama, Music";110;"Curtis Hanson";Blu-Ray;"Universal Studios";"Nov 08, 2018"
Abominable;"Horror, Thriller";94;"Ryan Schifrin";Blu-Ray;"Red Circle Productions";"Oct 01, 2019"
"Abraham Lincoln: Vampire Hunter";"Action, Fantasy, Horror, Thriller";105;"Timur Bekmambetov";Blu-Ray;"Abraham Productions";"Jan 15, 2018"
"Absolute Power";"Action, Adventure, Crime, Drama, Thriller";121;"Clint Eastwood";Blu-Ray;"Warner Bros.";"Jan 15, 2018"
Adventureland;"Comedy, Drama, Romance";107;"Greg Mottola";Blu-Ray;Miramax;"Mar 07, 2018"
"The Adventures of André and Wally B.";"Animation, Comedy, Family";2;"Alvy Ray Smith";Blu-Ray;Pixar;"Jun 20, 2018"
"The Adventures of Buckaroo Banzai Across the 8th Dimension!";"Adventure, Comedy, Romance, Science Fiction";103;"W.D. Richter";Blu-Ray;MGM/UA;"Jun 17, 2018"
"The African Queen";"Adventure, Comedy, Drama, Romance, War";105;"John Huston";DVD;"Horizon Pictures";"Nov 05, 2019"
"After The Fox";"Comedy, Crime";103;"Vittorio De Sica";Blu-Ray;MGM/UA;"Nov 30, 2018"
"The Age Of Innocence";"Drama, Romance";132;"Martin Scorsese";Blu-Ray;"Columbia TriStar";"Jun 11, 2019"
Airport;"Action, Drama, Thriller";471;"Henry Hathaway, George Seaton";Blu-Ray;Goodtimes;"Jun 20, 2018"
"Airport 1975";"Action, Adventure, Drama, Thriller";106;"Jack Smight";Blu-Ray;Goodtimes;"Jun 20, 2018"
"Airport '77";"Action, Adventure, Drama, Thriller";114;"Jerry Jameson";Blu-Ray;Goodtimes;"Jun 20, 2018"
Alien;"Action, Horror, Science Fiction, Thriller";111;"Ridley Scott";Blu-Ray;"20th Century Fox";"Jun 20, 2018"
"Alien 3";"Action, Horror, Music, Science Fiction, Thriller";114;"David Fincher";Blu-Ray;"20th Century Fox";"Jun 20, 2018"
"AVP: Alien vs. Predator";"Action, Adventure, Horror, Science Fiction, Thriller, War";101;"Paul W.S. Anderson";Blu-Ray;"20th Century Fox";"Jan 15, 2018"
"Alien: Covenant";"Action, Adventure, Horror, Science Fiction, Thriller";122;"Ridley Scott";"4K UHD";"20th Century Fox";"Feb 02, 2018"
"Alien: Resurrection";"Action, Horror, Science Fiction, Thriller, War";104;"Jean-Pierre Jeunet";Blu-Ray;"20th Century Fox";"Jun 20, 2018"
Aliens;"Action, Adventure, Horror, Science Fiction, Thriller";137;"James Cameron";Blu-Ray;"20th Century Fox";"Jun 20, 2018"
"All These Women";Comedy;80;"Ingmar Bergman";Blu-Ray;"Svensk Filmindustri (SF)";"Nov 20, 2018"
Allegiant;"Action, Adventure, Fantasy, Mystery, Romance, Science Fiction, Thriller";120;"Robert Schwentke";"4K UHD";"Lion's Gate";"May 12, 2018"
"Alvin and the Chipmunks: The Squeakquel";"Adventure, Animation, Comedy, Family, Fantasy, Music, Musical";85;"Betty Thomas";Blu-Ray;"Fox 2000";"Jan 15, 2018"
"The American";"Action, Crime, Drama, Thriller";120;"Anton Corbijn";Blu-Ray;"Focus Features";"Apr 07, 2018"
"American Gangster";"Action, Biography, Comedy, Crime, Documentary, Drama, Thriller";157;"Ridley Scott";Blu-Ray;"Universal Studios";"Mar 21, 2018"
"American Graffiti";"Comedy, Drama, Musical, Romance";110;"George Lucas";Blu-Ray;"Universal Studios";"Jan 21, 2018"
"American Hustle";"Crime, Drama, History, Thriller";138;"David O. Russell";Blu-Ray;"Atlas Entertainment";"Jan 21, 2018"
"American Pie";"Comedy, Romance";96;"Paul Weitz, Chris Weitz";Blu-Ray;"Universal Pictures";"Jun 20, 2018"
"American Pie 2";Comedy;108;"James B. Rogers";Blu-Ray;"Universal Studios";"Jun 20, 2018"
"American Wedding";"Comedy, Romance";99;"Jesse Dylan";Blu-Ray;"Universal Studios";"Jun 20, 2018"
"American Reunion";Comedy;113;"Jon Hurwitz, Hayden Schlossberg";Blu-Ray;Universal;"Jun 20, 2018"
"An American Werewolf In London";"Action, Comedy, Horror, Romance, Thriller";97;"John Landis";Blu-Ray;Artisan;"Apr 10, 2018"
"The Angry Birds Movie";"Action, Animation, Children, Comedy";194;"Clay Kaytis, Fergal Reilly";Blu-Ray;"Sony Pictures Animation";"Jun 17, 2018"
"Animusic HD";"Animation, Music";42;"Wayne Lytle";Blu-Ray;Animusic;"Jan 15, 2018"
Annie;"Comedy, Family, Musical";126;"John Huston";Blu-Ray;"Columbia Pictures";"Nov 05, 2019"
Annihilation;"Action, Adventure, Drama, Fantasy, Horror, Mystery, Science Fiction, Thriller";115;"Alex Garland";Blu-Ray;"DNA Films";"Jun 01, 2018"
Ansiktet;"Drama, Foreign";100;"Ingmar Bergman";Blu-Ray;"Tartan Video";"Nov 20, 2018"
"Ant-Man and The Wasp";"Action, Adventure, Comedy, Family, Fantasy, Romance, Science Fiction";118;"Peyton Reed";"4K UHD";"Marvel Studios";"Oct 14, 2018"
"Any Which Way You Can";"Action, Comedy";116;"Buddy Van Horn";Blu-Ray;"Warner Bros.";"Jun 20, 2018"
"Armed And Dangerous";"Action, Comedy, Crime";88;"Mark L. Lester";Blu-Ray;"Columbia TriStar";"Nov 11, 2018"
"The Arrested Development Documentary Project";"Comedy, Documentary";75;"Jeff Smith";Blu-Ray;;"Jan 11, 2019"
"The Asphalt Jungle";"Crime, Drama, Film Noir, Mystery";112;"John Huston";Blu-Ray;"Metro Goldwyn Mayer";"Nov 05, 2019"
"Point Of No Return";"Action, Adventure, Drama, Romance";109;"John Badham";Blu-Ray;"Warner Bros.";"Mar 11, 2018"
"The Assassination of Jesse James by the Coward Robert Ford";"Biography, Crime, Drama, Music, Science Fiction, Western";160;"Andrew Dominik";Blu-Ray;"Warner Bros. Pictures";"Jun 20, 2018"
"Auntie Mame";"Comedy, Drama";143;"Morton DaCosta";Blu-Ray;"Warner Bros.";"Jan 15, 2018"
"Aus dem Leben der Marionetten";"Adult, Drama";100;"Ingmar Bergman";Blu-Ray;"Tartan Video";"Nov 20, 2018"
"Autumn Sonata";"Drama, Foreign, Music";99;"Ingmar Bergman";Blu-Ray;Criterion/Voyager;"Nov 20, 2018"
