Title,"Release Date",Genres,Runtime,Director,Format,Distributor
1917,2019,"Drama | War",01:59,"Sam Mendes","4K UHD",
"3:10 to Yuma",2007,"Action | Crime | Drama | Western",02:02,"James Mangold","4K UHD","Lion's Gate Home Entertainment"
"Alien: Covenant",2017,"Action | Adventure | Horror | Science Fiction | Thriller",02:02,"Ridley Scott","4K UHD",
Allegiant,2016,"Action | Adventure | Fantasy | Mystery | Romance | Science Fiction | Thriller",02:00,"Robert Schwentke","4K UHD","Lion's Gate Home Entertainment"
"Ant-Man and The Wasp","Jul 06, 2018","Action | Adventure | Comedy | Family | Fantasy | Romance | Science Fiction",01:58,"Peyton Reed","4K UHD","Buena Vista Home Entertainment"
"Apocalypse Now",1979,"Drama | Mystery | War",02:27,"Francis Ford Coppola","4K UHD","Lions Gate"
"Avengers: Endgame","May 03, 2019","Action | Adventure | Drama | Science Fiction",03:01,"Anthony Russo | Joe Russo","4K UHD","Walt Disney"
"Baby Driver",2017,"Action | Comedy | Crime | Music | Thriller",01:52,"Edgar Wright","4K UHD","Sony Pictures"
"Bad Boys",1995,"Action | Comedy | Crime",01:58,"Michael Bay","4K UHD",
"Bad Boys II",2003,"Action | Comedy | Crime",02:27,"Michael Bay","4K UHD",
"Bad Times at the El Royale","Oct 05, 2019","Crime | Drama | Horror | Mystery | Science Fiction | Thriller",02:20,"Drew Goddard","4K UHD",
"Black Widow",2021,"Action | Adventure | Science Fiction",02:14,"Cate Shortland","4K UHD","Buena Vista Home Entertainment"
"Blade Runner 2049",2017,"Action | Mystery | Science Fiction | Thriller",02:44,"Denis Villeneuve","4K UHD","Warner Brothers"
"Blow Out",1981,"Crime | Drama | Mystery | Thriller",01:48,"Brian De Palma","4K UHD",
"Bohemian Rhapsody",2018,"Biography | Drama | Music",02:15,"Bryan Singer","4K UHD",Fox
"The Bourne Identity",2002,"Action | Adventure | Drama | Mystery | Thriller",01:58,"Doug Liman","4K UHD",
"The Bourne Legacy",2012,"Action | Mystery | Thriller",02:15,"Tony Gilroy","4K UHD",
"The Bourne Supremacy",2004,"Action | Adventure | Drama | Mystery | Thriller",01:48,"Paul Greengrass","4K UHD",
"The Bourne Ultimatum",2007,"Action | Adventure | Mystery | Thriller",01:55,"Paul Greengrass","4K UHD",
"Captain Marvel",2019,"Action | Adventure | Science Fiction",02:03,"Anna Boden | Ryan Fleck","4K UHD","Buena Vista Home Entertainment"
"Carlito's Way",1993,"Action | Crime | Drama | Foreign",02:25,"Brian De Palma","4K UHD | Blu-Ray",
"Clear And Present Danger",1994,"Action | Adventure | Crime | Drama | Foreign | Thriller",02:21,"Phillip Noyce","4K UHD",
"Clear and Present Danger",1994,"Action | Crime | Drama | Thriller",02:21,"Phillip Noyce","4K UHD",
Coco,2017,"Adventure | Animation | Comedy | Family | Fantasy",01:45,"Lee Unkrich | Adrian Molina","4K UHD","Buena Vista Home Entertainment"
"Crazy Rich Asians","Aug 17, 2018","Comedy | Drama | Romance",02:01,"Jon M. Chu","4K UHD",
Criminal,"Aug 21, 2016","Action | Crime | Drama | Mystery | Science Fiction | Thriller",01:53,"Ariel Vromen","4K UHD","Lion's Gate Home Entertainment"
"Cry Macho",2021,Drama,01:44,"Clint Eastwood","4K UHD","Warner Bros."
"The Dark Crystal",1982,"Adventure | Family | Fantasy",01:33,"Jim Henson | Frank Oz","4K UHD","Sony Pictures"
"Days of Heaven",1978,"Drama | Romance",01:34,"Terrence Malick","4K UHD","Criterion Collection"
Deadpool,2016,"Action | Adventure | Comedy | Fantasy | Science Fiction",01:46,"Tim Miller","4K UHD","20th Century Fox Home Entertainment"
"Deadpool 2",2018,"Action | Adventure | Comedy | Science Fiction",01:59,"David Leitch","4K UHD","20th Century Fox"
"Despicable Me",2010,"Adventure | Animation | Comedy | Crime | Family",01:35,"Pierre Coffin | Chris Renaud","4K UHD",
"Despicable Me 2",2013,"Action | Adventure | Animation | Comedy | Crime | Family | Fantasy | Science Fiction",01:38,"Pierre Coffin | Chris Renaud","4K UHD",
"Despicable Me 3",2017,"Action | Adventure | Animation | Comedy | Family | Science Fiction",01:30,"Kyle Balda | Pierre Coffin | Eric Guillon","4K UHD",
"Doctor Strange in the Multiverse of Madness","May 31, 2022","Action | Adventure | Fantasy | Science Fiction",02:06,"Sam Raimi","4K UHD","Buena Vista Home Entertainment"
"Double Indemnity",1944,"Crime | Drama | Film Noir | Mystery | Thriller",01:47,"Billy Wilder","4K UHD",
"The Fifth Element",1997,"Action | Adventure | Fantasy | Science Fiction",02:06,"Luc Besson","4K UHD","Sony Pictures Home Entertainment"
Goodfellas,1990,"Action | Crime | Drama",02:25,"Martin Scorsese","4K UHD","Warner Brothers Digital Dist."
